cat,testname,units,res
info,SysBenchVer,,0.4.1
info,JuliaVer,,1.8.5
info,OS,,Windows (x86_64-w64-mingw32)
info,CPU,,8 × Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
info,CPU_THREADS,,8
info,WORD_SIZE,,64
info,LIBM,,libopenlibm
info,LLVM,,"libLLVM-13.0.1 (ORCJIT, skylake)"
info,BLAS,,libopenblas64_
info,BLAS_threads,,4
info,GPU,,NVIDIA GeForce RTX 2060
cpu,FloatMul,ms,2.3e-6
cpu,FusedMulAdd,ms,2.3e-6
cpu,FloatSin,ms,4.8e-6
cpu,VecMulBroad,ms,6.052366565961732e-5
cpu,CPUMatMul,ms,0.0419
cpu,MatMulBroad,ms,0.009022222222222223
cpu,3DMulBroad,ms,0.001226315789473684
cpu,peakflops,flops,2.2917776746477826e11
cpu,FFMPEGH264Write,ms,269.28
gpu,GPUMatMul,ms,0.0099
mem,DeepCopy,ms,0.0004509714285714286
mem,Bandwidth10kB,MiB/s,67025.6204163002
mem,Bandwidth100kB,MiB/s,45413.06268601191
mem,Bandwidth1MB,MiB/s,15089.783487440664
mem,Bandwidth10MB,MiB/s,13813.359159997828
mem,Bandwidth100MB,MiB/s,14225.87661335735
diskio,DiskWrite1KB,ms,0.3218
diskio,DiskWrite1MB,ms,4.2936
diskio,DiskRead1KB,ms,3.6138
diskio,DiskRead1MB,ms,4.7504
loading,JuliaLoad,ms,134.2172
compilation,compilecache,ms,216.8843
